,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
LoanAmount,0.5290725681406446,0.35825035082101986,0.08054991106691099,-0.10099207973196453,-0.13413424822203018,0.060813433266598695,-0.13876363331656422,0.0010272526281594992,-0.2621153314778648,0.08307412228983783
ApplicantIncome,0.4577575913736071,0.4369411011757263,-0.2119420148866487,0.12452155126266855,0.0007783126831590386,-0.12838217889650902,-0.25120307714928386,-0.1263093465078103,-0.1570162763755537,0.013504881217384825
Married,0.40772105145580284,-0.4249747416020094,0.059063149341368235,-0.08281758888257648,0.09357425470966822,-0.19637283560387764,0.14878435510379248,0.022236140147325223,0.15163857604412065,0.7373915734981664
Dependents,0.3864051635853317,-0.2996708850860174,-0.15365428887040794,0.04306723264128717,-0.0316127189811165,-0.16497714479736808,0.06532564730382696,0.7011122878507723,0.051397366394770626,-0.456354860640053
Gender,0.3366653848805087,-0.3885732093851729,0.0726003470727495,-0.17642647696954697,0.1413852763642508,-0.09013311876563543,0.11892528898877057,-0.6566383374288094,-0.030154023601334526,-0.47401341886470705
Self_Employed,0.17780753244614864,0.19611165560655136,-0.3377259710907282,0.1877140064907585,0.22214552040162722,0.5208367531078193,0.6600336300099022,-0.03174378463366514,0.15162342820068417,0.011579902344343815
CoapplicantIncome,0.14175581689101693,-0.11216996854731943,0.5929970080424822,-0.14954659476408041,-0.3347331459593847,0.5805386338177904,0.047550268064070256,0.11804138389091545,-0.16769943041147486,-0.02236723777900476
Loan_Amount_Term,-0.12425293774573933,0.2620325816469256,0.055632015028887,-0.6056263233731224,-0.013831815358319049,-0.3654096227674289,0.5312370851277781,0.10958367471139323,-0.32075340430696336,-0.005914348523980038
Education,0.11712763590568326,0.3707265375239345,0.5014000863131426,0.04206329463243382,0.050674037059203786,-0.23509559645301314,0.10955218890679956,0.004837682415789492,0.714384541290173,-0.12427597063734278
Property_Area,-0.026841305341524062,-0.029359486935946057,0.2970012835696511,0.7120069536482277,-0.1599905065135737,-0.320460576925152,0.3554760536853231,-0.06311663188218704,-0.37904797015104824,0.0004354414341407111
Credit_History,-0.00792817997759804,0.03661623368541432,0.3283479472600556,0.036714345580552275,0.873218784500198,0.07829988838011268,-0.1364223259921372,0.17280327289502065,-0.2684736187726452,-0.010364466201268166
